Epoch 00000 | Loss 2.0896 | Test Acc 0.4641 | Time(s) nan
Epoch 00001 | Loss 6.6596 | Test Acc 0.2346 | Time(s) nan
Epoch 00002 | Loss 1.9993 | Test Acc 0.2203 | Time(s) nan
Epoch 00003 | Loss 1.9079 | Test Acc 0.2536 | Time(s) 0.0122
Epoch 00004 | Loss 2.0999 | Test Acc 0.2203 | Time(s) 0.0122
Epoch 00005 | Loss 2.1063 | Test Acc 0.2346 | Time(s) 0.0123
Epoch 00006 | Loss 2.0166 | Test Acc 0.2699 | Time(s) 0.0122
Epoch 00007 | Loss 1.9218 | Test Acc 0.5248 | Time(s) 0.0122
Epoch 00008 | Loss 1.8478 | Test Acc 0.4882 | Time(s) 0.0122
Epoch 00009 | Loss 1.8035 | Test Acc 0.5346 | Time(s) 0.0125
Epoch 00010 | Loss 1.7248 | Test Acc 0.3229 | Time(s) 0.0124
Epoch 00011 | Loss 1.6842 | Test Acc 0.4791 | Time(s) 0.0123
Epoch 00012 | Loss 1.6377 | Test Acc 0.4791 | Time(s) 0.0123
Epoch 00013 | Loss 1.5216 | Test Acc 0.5712 | Time(s) 0.0122
Epoch 00014 | Loss 1.3455 | Test Acc 0.6255 | Time(s) 0.0122
Epoch 00015 | Loss 1.2746 | Test Acc 0.6634 | Time(s) 0.0122
Epoch 00016 | Loss 1.2013 | Test Acc 0.6373 | Time(s) 0.0122
Epoch 00017 | Loss 1.0722 | Test Acc 0.6725 | Time(s) 0.0121
Epoch 00018 | Loss 0.9528 | Test Acc 0.7399 | Time(s) 0.0122
Epoch 00019 | Loss 0.9429 | Test Acc 0.6451 | Time(s) 0.0122
Epoch 00020 | Loss 0.8575 | Test Acc 0.7967 | Time(s) 0.0122
Epoch 00021 | Loss 0.7387 | Test Acc 0.6876 | Time(s) 0.0122
Epoch 00022 | Loss 0.9006 | Test Acc 0.6065 | Time(s) 0.0121
Epoch 00023 | Loss 1.1370 | Test Acc 0.7373 | Time(s) 0.0121
Epoch 00024 | Loss 0.6983 | Test Acc 0.6542 | Time(s) 0.0121
Epoch 00025 | Loss 0.8934 | Test Acc 0.7961 | Time(s) 0.0121
Epoch 00026 | Loss 0.6234 | Test Acc 0.6869 | Time(s) 0.0120
Epoch 00027 | Loss 0.8525 | Test Acc 0.8503 | Time(s) 0.0121
Epoch 00028 | Loss 0.5440 | Test Acc 0.7281 | Time(s) 0.0121
Epoch 00029 | Loss 0.7853 | Test Acc 0.8222 | Time(s) 0.0121
Epoch 00030 | Loss 0.5879 | Test Acc 0.7987 | Time(s) 0.0121
Epoch 00031 | Loss 0.6111 | Test Acc 0.8556 | Time(s) 0.0120
Epoch 00032 | Loss 0.5436 | Test Acc 0.8078 | Time(s) 0.0120
Epoch 00033 | Loss 0.5768 | Test Acc 0.8425 | Time(s) 0.0120
Epoch 00034 | Loss 0.5303 | Test Acc 0.8797 | Time(s) 0.0120
Epoch 00035 | Loss 0.4906 | Test Acc 0.8810 | Time(s) 0.0120
Epoch 00036 | Loss 0.5052 | Test Acc 0.8902 | Time(s) 0.0120
Epoch 00037 | Loss 0.4767 | Test Acc 0.9007 | Time(s) 0.0120
Epoch 00038 | Loss 0.4514 | Test Acc 0.8673 | Time(s) 0.0120
Epoch 00039 | Loss 0.4623 | Test Acc 0.9026 | Time(s) 0.0120
Epoch 00040 | Loss 0.4259 | Test Acc 0.9033 | Time(s) 0.0120
Epoch 00041 | Loss 0.4135 | Test Acc 0.8954 | Time(s) 0.0119
Epoch 00042 | Loss 0.4182 | Test Acc 0.9013 | Time(s) 0.0119
Epoch 00043 | Loss 0.4047 | Test Acc 0.9046 | Time(s) 0.0119
Epoch 00044 | Loss 0.3959 | Test Acc 0.9098 | Time(s) 0.0119
Epoch 00045 | Loss 0.3751 | Test Acc 0.9020 | Time(s) 0.0119
Epoch 00046 | Loss 0.3778 | Test Acc 0.9078 | Time(s) 0.0119
Epoch 00047 | Loss 0.3721 | Test Acc 0.9111 | Time(s) 0.0119
