Epoch 00000 | Loss 3.7396 | Test Acc 0.4202 | Time(s) nan
Epoch 00001 | Loss 3.0261 | Test Acc 0.3988 | Time(s) nan
Epoch 00002 | Loss 2.5662 | Test Acc 0.5546 | Time(s) nan
Epoch 00003 | Loss 2.1508 | Test Acc 0.6679 | Time(s) 0.5922
Epoch 00004 | Loss 1.8238 | Test Acc 0.7367 | Time(s) 0.5923
Epoch 00005 | Loss 1.4997 | Test Acc 0.7223 | Time(s) 0.5925
Epoch 00006 | Loss 1.3079 | Test Acc 0.8042 | Time(s) 0.5927
Epoch 00007 | Loss 1.1283 | Test Acc 0.8304 | Time(s) 0.5934
Epoch 00008 | Loss 0.9660 | Test Acc 0.8200 | Time(s) 0.5932
Epoch 00009 | Loss 0.8529 | Test Acc 0.8534 | Time(s) 0.5931
Epoch 00010 | Loss 0.7486 | Test Acc 0.8690 | Time(s) 0.5932
Epoch 00011 | Loss 0.6786 | Test Acc 0.8894 | Time(s) 0.5931
Epoch 00012 | Loss 0.6198 | Test Acc 0.9015 | Time(s) 0.5930
Epoch 00013 | Loss 0.5716 | Test Acc 0.9065 | Time(s) 0.5932
Epoch 00014 | Loss 0.5378 | Test Acc 0.9011 | Time(s) 0.5932
Epoch 00015 | Loss 0.5166 | Test Acc 0.9100 | Time(s) 0.5932
Epoch 00016 | Loss 0.4925 | Test Acc 0.9167 | Time(s) 0.5932
Epoch 00017 | Loss 0.4704 | Test Acc 0.9192 | Time(s) 0.5932
Epoch 00018 | Loss 0.4623 | Test Acc 0.9222 | Time(s) 0.5931
Epoch 00019 | Loss 0.4509 | Test Acc 0.9242 | Time(s) 0.5932
Epoch 00020 | Loss 0.4373 | Test Acc 0.9260 | Time(s) 0.5932
Epoch 00021 | Loss 0.4212 | Test Acc 0.9265 | Time(s) 0.5932
Epoch 00022 | Loss 0.4084 | Test Acc 0.9255 | Time(s) 0.5932
Epoch 00023 | Loss 0.4022 | Test Acc 0.9276 | Time(s) 0.5932
Epoch 00024 | Loss 0.3915 | Test Acc 0.9301 | Time(s) 0.5931
Epoch 00025 | Loss 0.3808 | Test Acc 0.9305 | Time(s) 0.5934
Epoch 00026 | Loss 0.3733 | Test Acc 0.9312 | Time(s) 0.5935
Epoch 00027 | Loss 0.3626 | Test Acc 0.9323 | Time(s) 0.5935
Epoch 00028 | Loss 0.3552 | Test Acc 0.9328 | Time(s) 0.5935
Epoch 00029 | Loss 0.3485 | Test Acc 0.9349 | Time(s) 0.5934
Epoch 00030 | Loss 0.3393 | Test Acc 0.9350 | Time(s) 0.5934
Epoch 00031 | Loss 0.3338 | Test Acc 0.9354 | Time(s) 0.5933
Epoch 00032 | Loss 0.3294 | Test Acc 0.9359 | Time(s) 0.5934
Epoch 00033 | Loss 0.3237 | Test Acc 0.9371 | Time(s) 0.5933
Epoch 00034 | Loss 0.3188 | Test Acc 0.9375 | Time(s) 0.5933
Epoch 00035 | Loss 0.3146 | Test Acc 0.9372 | Time(s) 0.5933
Epoch 00036 | Loss 0.3117 | Test Acc 0.9380 | Time(s) 0.5933
Epoch 00037 | Loss 0.3074 | Test Acc 0.9386 | Time(s) 0.5933
Epoch 00038 | Loss 0.3031 | Test Acc 0.9386 | Time(s) 0.5933
Epoch 00039 | Loss 0.2999 | Test Acc 0.9393 | Time(s) 0.5932
Epoch 00040 | Loss 0.2960 | Test Acc 0.9403 | Time(s) 0.5932
Epoch 00041 | Loss 0.2924 | Test Acc 0.9408 | Time(s) 0.5932
Epoch 00042 | Loss 0.2890 | Test Acc 0.9411 | Time(s) 0.5932
Epoch 00043 | Loss 0.2857 | Test Acc 0.9411 | Time(s) 0.5932
Epoch 00044 | Loss 0.2827 | Test Acc 0.9411 | Time(s) 0.5932
Epoch 00045 | Loss 0.2800 | Test Acc 0.9415 | Time(s) 0.5933
Epoch 00046 | Loss 0.2776 | Test Acc 0.9419 | Time(s) 0.5932
Epoch 00047 | Loss 0.2752 | Test Acc 0.9420 | Time(s) 0.5932
Epoch 00048 | Loss 0.2727 | Test Acc 0.9420 | Time(s) 0.5932
Epoch 00049 | Loss 0.2705 | Test Acc 0.9422 | Time(s) 0.5932
Epoch 00050 | Loss 0.2686 | Test Acc 0.9424 | Time(s) 0.5932
Epoch 00051 | Loss 0.2663 | Test Acc 0.9425 | Time(s) 0.5932
Epoch 00052 | Loss 0.2642 | Test Acc 0.9426 | Time(s) 0.5932
Epoch 00053 | Loss 0.2625 | Test Acc 0.9428 | Time(s) 0.5932
Epoch 00054 | Loss 0.2605 | Test Acc 0.9429 | Time(s) 0.5932
Epoch 00055 | Loss 0.2586 | Test Acc 0.9432 | Time(s) 0.5932
Epoch 00056 | Loss 0.2567 | Test Acc 0.9434 | Time(s) 0.5932
Epoch 00057 | Loss 0.2549 | Test Acc 0.9436 | Time(s) 0.5931
Epoch 00058 | Loss 0.2532 | Test Acc 0.9438 | Time(s) 0.5931
Epoch 00059 | Loss 0.2515 | Test Acc 0.9440 | Time(s) 0.5931
Epoch 00060 | Loss 0.2499 | Test Acc 0.9442 | Time(s) 0.5931
Epoch 00061 | Loss 0.2482 | Test Acc 0.9444 | Time(s) 0.5931
Epoch 00062 | Loss 0.2467 | Test Acc 0.9443 | Time(s) 0.5934
Epoch 00063 | Loss 0.2451 | Test Acc 0.9444 | Time(s) 0.5934
Epoch 00064 | Loss 0.2436 | Test Acc 0.9446 | Time(s) 0.5934
Epoch 00065 | Loss 0.2422 | Test Acc 0.9450 | Time(s) 0.5934
Epoch 00066 | Loss 0.2407 | Test Acc 0.9450 | Time(s) 0.5934
Epoch 00067 | Loss 0.2394 | Test Acc 0.9455 | Time(s) 0.5934
Epoch 00068 | Loss 0.2380 | Test Acc 0.9456 | Time(s) 0.5934
Epoch 00069 | Loss 0.2367 | Test Acc 0.9457 | Time(s) 0.5934
Epoch 00070 | Loss 0.2353 | Test Acc 0.9456 | Time(s) 0.5936
Epoch 00071 | Loss 0.2341 | Test Acc 0.9456 | Time(s) 0.5935
Epoch 00072 | Loss 0.2328 | Test Acc 0.9456 | Time(s) 0.5935
Epoch 00073 | Loss 0.2316 | Test Acc 0.9457 | Time(s) 0.5935
Epoch 00074 | Loss 0.2304 | Test Acc 0.9457 | Time(s) 0.5935
Epoch 00075 | Loss 0.2292 | Test Acc 0.9458 | Time(s) 0.5935
Epoch 00076 | Loss 0.2281 | Test Acc 0.9457 | Time(s) 0.5935
Epoch 00077 | Loss 0.2269 | Test Acc 0.9459 | Time(s) 0.5935
Epoch 00078 | Loss 0.2258 | Test Acc 0.9461 | Time(s) 0.5935
Epoch 00079 | Loss 0.2247 | Test Acc 0.9462 | Time(s) 0.5935
Epoch 00080 | Loss 0.2236 | Test Acc 0.9463 | Time(s) 0.5934
Epoch 00081 | Loss 0.2226 | Test Acc 0.9462 | Time(s) 0.5934
Epoch 00082 | Loss 0.2215 | Test Acc 0.9463 | Time(s) 0.5934
Epoch 00083 | Loss 0.2205 | Test Acc 0.9464 | Time(s) 0.5934
Epoch 00084 | Loss 0.2195 | Test Acc 0.9466 | Time(s) 0.5934
Epoch 00085 | Loss 0.2185 | Test Acc 0.9464 | Time(s) 0.5934
Epoch 00086 | Loss 0.2175 | Test Acc 0.9465 | Time(s) 0.5934
Epoch 00087 | Loss 0.2166 | Test Acc 0.9464 | Time(s) 0.5934
Epoch 00088 | Loss 0.2157 | Test Acc 0.9466 | Time(s) 0.5934
Epoch 00089 | Loss 0.2152 | Test Acc 0.9463 | Time(s) 0.5934
Epoch 00090 | Loss 0.2153 | Test Acc 0.9461 | Time(s) 0.5934
Epoch 00091 | Loss 0.2162 | Test Acc 0.9452 | Time(s) 0.5934
Epoch 00092 | Loss 0.2167 | Test Acc 0.9467 | Time(s) 0.5934
Epoch 00093 | Loss 0.2128 | Test Acc 0.9469 | Time(s) 0.5934
Epoch 00094 | Loss 0.2107 | Test Acc 0.9464 | Time(s) 0.5934
Epoch 00095 | Loss 0.2124 | Test Acc 0.9470 | Time(s) 0.5934
Epoch 00096 | Loss 0.2100 | Test Acc 0.9473 | Time(s) 0.5934
Epoch 00097 | Loss 0.2080 | Test Acc 0.9467 | Time(s) 0.5934
Epoch 00098 | Loss 0.2088 | Test Acc 0.9471 | Time(s) 0.5934
Epoch 00099 | Loss 0.2065 | Test Acc 0.9476 | Time(s) 0.5933
Best Test Acc 0.9476 at Epoch 00099
