Epoch 00000 | Loss 3.7340 | Test Acc 0.2945 | Time(s) nan
Epoch 00001 | Loss 3.4255 | Test Acc 0.3825 | Time(s) nan
Epoch 00002 | Loss 2.9562 | Test Acc 0.3796 | Time(s) nan
Epoch 00003 | Loss 2.6617 | Test Acc 0.5695 | Time(s) 0.5950
Epoch 00004 | Loss 2.3219 | Test Acc 0.6043 | Time(s) 0.5925
Epoch 00005 | Loss 1.9678 | Test Acc 0.6183 | Time(s) 0.5923
Epoch 00006 | Loss 1.7029 | Test Acc 0.6755 | Time(s) 0.5916
Epoch 00007 | Loss 1.5359 | Test Acc 0.7170 | Time(s) 0.5913
Epoch 00008 | Loss 1.2977 | Test Acc 0.7659 | Time(s) 0.5912
Epoch 00009 | Loss 1.1628 | Test Acc 0.7702 | Time(s) 0.5919
Epoch 00010 | Loss 1.0635 | Test Acc 0.8047 | Time(s) 0.5917
Epoch 00011 | Loss 0.9595 | Test Acc 0.7888 | Time(s) 0.5917
Epoch 00012 | Loss 0.9091 | Test Acc 0.8088 | Time(s) 0.5916
Epoch 00013 | Loss 0.8155 | Test Acc 0.8186 | Time(s) 0.5914
Epoch 00014 | Loss 0.7874 | Test Acc 0.8429 | Time(s) 0.5914
Epoch 00015 | Loss 0.7354 | Test Acc 0.8621 | Time(s) 0.5913
Epoch 00016 | Loss 0.6788 | Test Acc 0.8506 | Time(s) 0.5913
Epoch 00017 | Loss 0.6674 | Test Acc 0.8768 | Time(s) 0.5911
Epoch 00018 | Loss 0.6213 | Test Acc 0.8707 | Time(s) 0.5911
Epoch 00019 | Loss 0.6248 | Test Acc 0.8948 | Time(s) 0.5910
Epoch 00020 | Loss 0.5842 | Test Acc 0.8958 | Time(s) 0.5910
Epoch 00021 | Loss 0.5587 | Test Acc 0.8977 | Time(s) 0.5909
Epoch 00022 | Loss 0.5433 | Test Acc 0.9065 | Time(s) 0.5910
Epoch 00023 | Loss 0.5228 | Test Acc 0.9088 | Time(s) 0.5910
Epoch 00024 | Loss 0.4988 | Test Acc 0.9096 | Time(s) 0.5910
Epoch 00025 | Loss 0.4850 | Test Acc 0.9112 | Time(s) 0.5910
Epoch 00026 | Loss 0.4745 | Test Acc 0.9112 | Time(s) 0.5910
Epoch 00027 | Loss 0.4667 | Test Acc 0.9154 | Time(s) 0.5910
Epoch 00028 | Loss 0.4515 | Test Acc 0.9174 | Time(s) 0.5916
Epoch 00029 | Loss 0.4386 | Test Acc 0.9182 | Time(s) 0.5916
Epoch 00030 | Loss 0.4308 | Test Acc 0.9196 | Time(s) 0.5916
Epoch 00031 | Loss 0.4194 | Test Acc 0.9216 | Time(s) 0.5916
Epoch 00032 | Loss 0.4093 | Test Acc 0.9222 | Time(s) 0.5915
Epoch 00033 | Loss 0.4023 | Test Acc 0.9240 | Time(s) 0.5915
Epoch 00034 | Loss 0.3932 | Test Acc 0.9258 | Time(s) 0.5914
Epoch 00035 | Loss 0.3849 | Test Acc 0.9271 | Time(s) 0.5914
Epoch 00036 | Loss 0.3811 | Test Acc 0.9282 | Time(s) 0.5914
Epoch 00037 | Loss 0.3743 | Test Acc 0.9283 | Time(s) 0.5914
Epoch 00038 | Loss 0.3685 | Test Acc 0.9279 | Time(s) 0.5913
Epoch 00039 | Loss 0.3645 | Test Acc 0.9287 | Time(s) 0.5913
Epoch 00040 | Loss 0.3579 | Test Acc 0.9298 | Time(s) 0.5913
Epoch 00041 | Loss 0.3538 | Test Acc 0.9302 | Time(s) 0.5913
Epoch 00042 | Loss 0.3494 | Test Acc 0.9308 | Time(s) 0.5913
Epoch 00043 | Loss 0.3443 | Test Acc 0.9313 | Time(s) 0.5913
Epoch 00044 | Loss 0.3412 | Test Acc 0.9327 | Time(s) 0.5913
Epoch 00045 | Loss 0.3369 | Test Acc 0.9330 | Time(s) 0.5912
Epoch 00046 | Loss 0.3338 | Test Acc 0.9329 | Time(s) 0.5912
Epoch 00047 | Loss 0.3311 | Test Acc 0.9333 | Time(s) 0.5912
Epoch 00048 | Loss 0.3275 | Test Acc 0.9339 | Time(s) 0.5912
Epoch 00049 | Loss 0.3245 | Test Acc 0.9348 | Time(s) 0.5912
Epoch 00050 | Loss 0.3214 | Test Acc 0.9350 | Time(s) 0.5912
Epoch 00051 | Loss 0.3185 | Test Acc 0.9355 | Time(s) 0.5911
Epoch 00052 | Loss 0.3160 | Test Acc 0.9359 | Time(s) 0.5912
Epoch 00053 | Loss 0.3137 | Test Acc 0.9359 | Time(s) 0.5911
Epoch 00054 | Loss 0.3112 | Test Acc 0.9364 | Time(s) 0.5911
Epoch 00055 | Loss 0.3086 | Test Acc 0.9368 | Time(s) 0.5911
Epoch 00056 | Loss 0.3066 | Test Acc 0.9370 | Time(s) 0.5911
Epoch 00057 | Loss 0.3041 | Test Acc 0.9375 | Time(s) 0.5911
Epoch 00058 | Loss 0.3021 | Test Acc 0.9378 | Time(s) 0.5911
Epoch 00059 | Loss 0.3000 | Test Acc 0.9383 | Time(s) 0.5911
Epoch 00060 | Loss 0.2979 | Test Acc 0.9384 | Time(s) 0.5911
Epoch 00061 | Loss 0.2962 | Test Acc 0.9388 | Time(s) 0.5911
Epoch 00062 | Loss 0.2942 | Test Acc 0.9387 | Time(s) 0.5911
Epoch 00063 | Loss 0.2926 | Test Acc 0.9390 | Time(s) 0.5912
Epoch 00064 | Loss 0.2908 | Test Acc 0.9392 | Time(s) 0.5912
Epoch 00065 | Loss 0.2893 | Test Acc 0.9390 | Time(s) 0.5912
Epoch 00066 | Loss 0.2879 | Test Acc 0.9397 | Time(s) 0.5912
Epoch 00067 | Loss 0.2866 | Test Acc 0.9391 | Time(s) 0.5912
Epoch 00068 | Loss 0.2854 | Test Acc 0.9399 | Time(s) 0.5912
Epoch 00069 | Loss 0.2840 | Test Acc 0.9392 | Time(s) 0.5911
Epoch 00070 | Loss 0.2829 | Test Acc 0.9400 | Time(s) 0.5911
Epoch 00071 | Loss 0.2810 | Test Acc 0.9400 | Time(s) 0.5911
Epoch 00072 | Loss 0.2787 | Test Acc 0.9404 | Time(s) 0.5911
Epoch 00073 | Loss 0.2772 | Test Acc 0.9404 | Time(s) 0.5911
Epoch 00074 | Loss 0.2760 | Test Acc 0.9400 | Time(s) 0.5911
Epoch 00075 | Loss 0.2756 | Test Acc 0.9407 | Time(s) 0.5911
Epoch 00076 | Loss 0.2749 | Test Acc 0.9404 | Time(s) 0.5911
Epoch 00077 | Loss 0.2740 | Test Acc 0.9411 | Time(s) 0.5911
Epoch 00078 | Loss 0.2724 | Test Acc 0.9408 | Time(s) 0.5911
Epoch 00079 | Loss 0.2710 | Test Acc 0.9413 | Time(s) 0.5912
Epoch 00080 | Loss 0.2702 | Test Acc 0.9413 | Time(s) 0.5912
Epoch 00081 | Loss 0.2692 | Test Acc 0.9420 | Time(s) 0.5911
Epoch 00082 | Loss 0.2666 | Test Acc 0.9417 | Time(s) 0.5911
Epoch 00083 | Loss 0.2663 | Test Acc 0.9411 | Time(s) 0.5911
Epoch 00084 | Loss 0.2659 | Test Acc 0.9418 | Time(s) 0.5911
Epoch 00085 | Loss 0.2649 | Test Acc 0.9424 | Time(s) 0.5911
Epoch 00086 | Loss 0.2628 | Test Acc 0.9416 | Time(s) 0.5911
Epoch 00087 | Loss 0.2622 | Test Acc 0.9421 | Time(s) 0.5911
Epoch 00088 | Loss 0.2611 | Test Acc 0.9422 | Time(s) 0.5911
Epoch 00089 | Loss 0.2609 | Test Acc 0.9421 | Time(s) 0.5911
Epoch 00090 | Loss 0.2590 | Test Acc 0.9424 | Time(s) 0.5911
Epoch 00091 | Loss 0.2575 | Test Acc 0.9429 | Time(s) 0.5911
Epoch 00092 | Loss 0.2576 | Test Acc 0.9424 | Time(s) 0.5911
Epoch 00093 | Loss 0.2564 | Test Acc 0.9424 | Time(s) 0.5911
Epoch 00094 | Loss 0.2551 | Test Acc 0.9433 | Time(s) 0.5910
Epoch 00095 | Loss 0.2541 | Test Acc 0.9430 | Time(s) 0.5910
Epoch 00096 | Loss 0.2536 | Test Acc 0.9429 | Time(s) 0.5910
Epoch 00097 | Loss 0.2521 | Test Acc 0.9434 | Time(s) 0.5910
Epoch 00098 | Loss 0.2512 | Test Acc 0.9432 | Time(s) 0.5912
Epoch 00099 | Loss 0.2506 | Test Acc 0.9427 | Time(s) 0.5912
Best Test Acc 0.9434 at Epoch 00097
