Epoch 00000 | Loss 3.7618 | Test Acc 0.3064 | Time(s) nan
Epoch 00001 | Loss 3.2100 | Test Acc 0.2927 | Time(s) nan
Epoch 00002 | Loss 2.8477 | Test Acc 0.5584 | Time(s) nan
Epoch 00003 | Loss 2.4321 | Test Acc 0.6131 | Time(s) 0.5953
Epoch 00004 | Loss 2.1156 | Test Acc 0.6420 | Time(s) 0.5942
Epoch 00005 | Loss 1.8181 | Test Acc 0.6862 | Time(s) 0.5941
Epoch 00006 | Loss 1.5646 | Test Acc 0.7595 | Time(s) 0.5937
Epoch 00007 | Loss 1.3340 | Test Acc 0.8149 | Time(s) 0.5946
Epoch 00008 | Loss 1.1632 | Test Acc 0.8269 | Time(s) 0.5944
Epoch 00009 | Loss 0.9828 | Test Acc 0.8309 | Time(s) 0.5941
Epoch 00010 | Loss 0.8461 | Test Acc 0.8654 | Time(s) 0.5938
Epoch 00011 | Loss 0.7386 | Test Acc 0.8746 | Time(s) 0.5937
Epoch 00012 | Loss 0.6704 | Test Acc 0.8639 | Time(s) 0.5937
Epoch 00013 | Loss 0.6243 | Test Acc 0.8793 | Time(s) 0.5938
Epoch 00014 | Loss 0.6061 | Test Acc 0.8906 | Time(s) 0.5937
Epoch 00015 | Loss 0.5656 | Test Acc 0.8964 | Time(s) 0.5936
Epoch 00016 | Loss 0.5448 | Test Acc 0.9128 | Time(s) 0.5935
Epoch 00017 | Loss 0.5147 | Test Acc 0.9111 | Time(s) 0.5935
Epoch 00018 | Loss 0.5132 | Test Acc 0.9120 | Time(s) 0.5935
Epoch 00019 | Loss 0.4906 | Test Acc 0.9167 | Time(s) 0.5934
Epoch 00020 | Loss 0.4703 | Test Acc 0.9173 | Time(s) 0.5934
Epoch 00021 | Loss 0.4606 | Test Acc 0.9207 | Time(s) 0.5934
Epoch 00022 | Loss 0.4429 | Test Acc 0.9220 | Time(s) 0.5934
Epoch 00023 | Loss 0.4283 | Test Acc 0.9252 | Time(s) 0.5934
Epoch 00024 | Loss 0.4071 | Test Acc 0.9248 | Time(s) 0.5934
Epoch 00025 | Loss 0.4024 | Test Acc 0.9229 | Time(s) 0.5934
Epoch 00026 | Loss 0.4031 | Test Acc 0.9261 | Time(s) 0.5934
