Epoch 00000 | Loss 2.3367 | Test Acc 0.3642 | Time(s) nan
Epoch 00001 | Loss 14.7232 | Test Acc 0.1734 | Time(s) nan
Epoch 00002 | Loss 3.9290 | Test Acc 0.2101 | Time(s) nan
Epoch 00003 | Loss 2.2852 | Test Acc 0.1218 | Time(s) 0.0186
Epoch 00004 | Loss 2.2170 | Test Acc 0.1618 | Time(s) 0.0188
Epoch 00005 | Loss 2.1966 | Test Acc 0.1599 | Time(s) 0.0187
Epoch 00006 | Loss 2.1782 | Test Acc 0.1658 | Time(s) 0.0185
Epoch 00007 | Loss 2.1186 | Test Acc 0.4573 | Time(s) 0.0184
Epoch 00008 | Loss 2.0323 | Test Acc 0.4707 | Time(s) 0.0183
Epoch 00009 | Loss 1.9768 | Test Acc 0.3791 | Time(s) 0.0182
Epoch 00010 | Loss 1.9851 | Test Acc 0.4235 | Time(s) 0.0182
Epoch 00011 | Loss 1.9411 | Test Acc 0.4882 | Time(s) 0.0183
Epoch 00012 | Loss 1.8819 | Test Acc 0.4017 | Time(s) 0.0182
Epoch 00013 | Loss 1.8337 | Test Acc 0.4693 | Time(s) 0.0182
Epoch 00014 | Loss 1.7898 | Test Acc 0.5645 | Time(s) 0.0182
Epoch 00015 | Loss 1.7098 | Test Acc 0.5489 | Time(s) 0.0182
Epoch 00016 | Loss 1.6201 | Test Acc 0.5587 | Time(s) 0.0182
Epoch 00017 | Loss 1.5872 | Test Acc 0.5427 | Time(s) 0.0182
Epoch 00018 | Loss 1.5414 | Test Acc 0.5318 | Time(s) 0.0182
Epoch 00019 | Loss 1.4379 | Test Acc 0.6227 | Time(s) 0.0182
Epoch 00020 | Loss 1.3647 | Test Acc 0.6252 | Time(s) 0.0181
Epoch 00021 | Loss 1.2941 | Test Acc 0.6296 | Time(s) 0.0181
Epoch 00022 | Loss 1.2394 | Test Acc 0.6369 | Time(s) 0.0181
Epoch 00023 | Loss 1.1861 | Test Acc 0.6307 | Time(s) 0.0181
Epoch 00024 | Loss 1.1747 | Test Acc 0.6685 | Time(s) 0.0181
Epoch 00025 | Loss 1.1116 | Test Acc 0.6947 | Time(s) 0.0181
Epoch 00026 | Loss 1.0382 | Test Acc 0.6728 | Time(s) 0.0181
Epoch 00027 | Loss 1.0077 | Test Acc 0.7077 | Time(s) 0.0181
Epoch 00028 | Loss 0.9467 | Test Acc 0.7310 | Time(s) 0.0181
Epoch 00029 | Loss 0.8914 | Test Acc 0.7190 | Time(s) 0.0181
Epoch 00030 | Loss 0.8856 | Test Acc 0.7339 | Time(s) 0.0181
Epoch 00031 | Loss 0.8103 | Test Acc 0.7027 | Time(s) 0.0181
Epoch 00032 | Loss 0.8371 | Test Acc 0.7321 | Time(s) 0.0181
Epoch 00033 | Loss 0.7473 | Test Acc 0.7397 | Time(s) 0.0181
Epoch 00034 | Loss 0.7612 | Test Acc 0.7834 | Time(s) 0.0181
Epoch 00035 | Loss 0.6942 | Test Acc 0.7739 | Time(s) 0.0181
Epoch 00036 | Loss 0.6856 | Test Acc 0.7510 | Time(s) 0.0181
Epoch 00037 | Loss 0.6885 | Test Acc 0.7608 | Time(s) 0.0181
Epoch 00038 | Loss 0.7614 | Test Acc 0.6870 | Time(s) 0.0181
Epoch 00039 | Loss 0.9738 | Test Acc 0.7695 | Time(s) 0.0181
Epoch 00040 | Loss 0.6672 | Test Acc 0.7612 | Time(s) 0.0181
Epoch 00041 | Loss 0.7634 | Test Acc 0.7081 | Time(s) 0.0181
Epoch 00042 | Loss 0.8996 | Test Acc 0.7754 | Time(s) 0.0180
Epoch 00043 | Loss 0.6784 | Test Acc 0.7688 | Time(s) 0.0180
Epoch 00044 | Loss 0.6843 | Test Acc 0.7612 | Time(s) 0.0180
Epoch 00045 | Loss 0.7126 | Test Acc 0.7852 | Time(s) 0.0180
Epoch 00046 | Loss 0.6300 | Test Acc 0.8037 | Time(s) 0.0180
Epoch 00047 | Loss 0.5800 | Test Acc 0.7750 | Time(s) 0.0180
Epoch 00048 | Loss 0.6366 | Test Acc 0.7983 | Time(s) 0.0180
Epoch 00049 | Loss 0.5717 | Test Acc 0.7903 | Time(s) 0.0180
Epoch 00050 | Loss 0.6102 | Test Acc 0.8012 | Time(s) 0.0180
Epoch 00051 | Loss 0.5755 | Test Acc 0.8008 | Time(s) 0.0180
Epoch 00052 | Loss 0.5422 | Test Acc 0.7975 | Time(s) 0.0180
Epoch 00053 | Loss 0.5372 | Test Acc 0.7899 | Time(s) 0.0180
Epoch 00054 | Loss 0.5646 | Test Acc 0.8197 | Time(s) 0.0180
Epoch 00055 | Loss 0.5047 | Test Acc 0.8324 | Time(s) 0.0180
Epoch 00056 | Loss 0.5166 | Test Acc 0.8324 | Time(s) 0.0180
Epoch 00057 | Loss 0.5206 | Test Acc 0.8328 | Time(s) 0.0180
Epoch 00058 | Loss 0.4828 | Test Acc 0.8190 | Time(s) 0.0180
Epoch 00059 | Loss 0.4896 | Test Acc 0.8182 | Time(s) 0.0180
Epoch 00060 | Loss 0.4985 | Test Acc 0.8292 | Time(s) 0.0180
Epoch 00061 | Loss 0.4678 | Test Acc 0.8368 | Time(s) 0.0180
Epoch 00062 | Loss 0.4631 | Test Acc 0.8411 | Time(s) 0.0180
Epoch 00063 | Loss 0.4698 | Test Acc 0.8466 | Time(s) 0.0180
Epoch 00064 | Loss 0.4518 | Test Acc 0.8473 | Time(s) 0.0180
Epoch 00065 | Loss 0.4359 | Test Acc 0.8426 | Time(s) 0.0180
Epoch 00066 | Loss 0.4420 | Test Acc 0.8513 | Time(s) 0.0180
Epoch 00067 | Loss 0.4314 | Test Acc 0.8597 | Time(s) 0.0180
Epoch 00068 | Loss 0.4226 | Test Acc 0.8571 | Time(s) 0.0180
Epoch 00069 | Loss 0.4164 | Test Acc 0.8564 | Time(s) 0.0180
Epoch 00070 | Loss 0.4177 | Test Acc 0.8619 | Time(s) 0.0180
Epoch 00071 | Loss 0.4127 | Test Acc 0.8637 | Time(s) 0.0180
Epoch 00072 | Loss 0.4092 | Test Acc 0.8611 | Time(s) 0.0180
Epoch 00073 | Loss 0.4015 | Test Acc 0.8644 | Time(s) 0.0180
Epoch 00074 | Loss 0.3914 | Test Acc 0.8593 | Time(s) 0.0180
Epoch 00075 | Loss 0.3947 | Test Acc 0.8651 | Time(s) 0.0180
Epoch 00076 | Loss 0.3860 | Test Acc 0.8691 | Time(s) 0.0180
Epoch 00077 | Loss 0.3824 | Test Acc 0.8677 | Time(s) 0.0180
Epoch 00078 | Loss 0.3806 | Test Acc 0.8731 | Time(s) 0.0180
Epoch 00079 | Loss 0.3743 | Test Acc 0.8702 | Time(s) 0.0180
Epoch 00080 | Loss 0.3711 | Test Acc 0.8717 | Time(s) 0.0180
