Epoch 00000 | Loss 2.3325 | Test Acc 0.3642 | Time(s) nan
Epoch 00001 | Loss 11.2814 | Test Acc 0.1563 | Time(s) nan
Epoch 00002 | Loss 2.5649 | Test Acc 0.1603 | Time(s) nan
Epoch 00003 | Loss 2.2074 | Test Acc 0.1599 | Time(s) 0.0167
Epoch 00004 | Loss 2.1670 | Test Acc 0.3057 | Time(s) 0.0168
Epoch 00005 | Loss 2.0633 | Test Acc 0.3642 | Time(s) 0.0174
Epoch 00006 | Loss 2.0049 | Test Acc 0.3642 | Time(s) 0.0171
Epoch 00007 | Loss 2.0410 | Test Acc 0.3642 | Time(s) 0.0169
Epoch 00008 | Loss 2.0077 | Test Acc 0.3642 | Time(s) 0.0168
Epoch 00009 | Loss 1.9931 | Test Acc 0.3642 | Time(s) 0.0167
Epoch 00010 | Loss 1.9814 | Test Acc 0.3642 | Time(s) 0.0167
Epoch 00011 | Loss 1.9528 | Test Acc 0.3642 | Time(s) 0.0166
Epoch 00012 | Loss 1.9353 | Test Acc 0.3642 | Time(s) 0.0166
Epoch 00013 | Loss 1.9245 | Test Acc 0.4140 | Time(s) 0.0166
Epoch 00014 | Loss 1.8884 | Test Acc 0.3642 | Time(s) 0.0166
Epoch 00015 | Loss 1.8373 | Test Acc 0.3642 | Time(s) 0.0165
Epoch 00016 | Loss 1.8031 | Test Acc 0.3704 | Time(s) 0.0165
Epoch 00017 | Loss 1.7597 | Test Acc 0.4202 | Time(s) 0.0165
Epoch 00018 | Loss 1.6953 | Test Acc 0.3646 | Time(s) 0.0165
Epoch 00019 | Loss 1.6643 | Test Acc 0.4795 | Time(s) 0.0165
Epoch 00020 | Loss 1.5594 | Test Acc 0.4802 | Time(s) 0.0164
Epoch 00021 | Loss 1.5463 | Test Acc 0.4806 | Time(s) 0.0164
Epoch 00022 | Loss 1.4954 | Test Acc 0.5187 | Time(s) 0.0164
Epoch 00023 | Loss 1.4359 | Test Acc 0.5056 | Time(s) 0.0164
Epoch 00024 | Loss 1.4079 | Test Acc 0.5133 | Time(s) 0.0164
Epoch 00025 | Loss 1.3634 | Test Acc 0.5056 | Time(s) 0.0164
Epoch 00026 | Loss 1.3524 | Test Acc 0.5187 | Time(s) 0.0164
Epoch 00027 | Loss 1.3006 | Test Acc 0.5224 | Time(s) 0.0164
Epoch 00028 | Loss 1.2670 | Test Acc 0.5147 | Time(s) 0.0164
Epoch 00029 | Loss 1.2466 | Test Acc 0.5336 | Time(s) 0.0163
Epoch 00030 | Loss 1.2017 | Test Acc 0.5525 | Time(s) 0.0164
Epoch 00031 | Loss 1.1852 | Test Acc 0.5711 | Time(s) 0.0164
Epoch 00032 | Loss 1.1404 | Test Acc 0.6060 | Time(s) 0.0164
Epoch 00033 | Loss 1.1060 | Test Acc 0.6419 | Time(s) 0.0163
Epoch 00034 | Loss 1.0947 | Test Acc 0.6303 | Time(s) 0.0163
Epoch 00035 | Loss 1.0974 | Test Acc 0.6350 | Time(s) 0.0163
Epoch 00036 | Loss 1.1241 | Test Acc 0.6270 | Time(s) 0.0163
Epoch 00037 | Loss 1.1375 | Test Acc 0.6394 | Time(s) 0.0164
Epoch 00038 | Loss 1.0753 | Test Acc 0.4955 | Time(s) 0.0165
Epoch 00039 | Loss 1.2507 | Test Acc 0.6147 | Time(s) 0.0165
Epoch 00040 | Loss 1.1415 | Test Acc 0.5969 | Time(s) 0.0165
Epoch 00041 | Loss 1.2813 | Test Acc 0.6096 | Time(s) 0.0165
Epoch 00042 | Loss 1.2291 | Test Acc 0.6111 | Time(s) 0.0165
Epoch 00043 | Loss 1.1262 | Test Acc 0.6539 | Time(s) 0.0165
Epoch 00044 | Loss 1.0390 | Test Acc 0.5205 | Time(s) 0.0164
Epoch 00045 | Loss 1.3756 | Test Acc 0.6627 | Time(s) 0.0164
Epoch 00046 | Loss 0.9944 | Test Acc 0.6394 | Time(s) 0.0164
Epoch 00047 | Loss 1.1223 | Test Acc 0.6256 | Time(s) 0.0164
Epoch 00048 | Loss 1.0660 | Test Acc 0.6216 | Time(s) 0.0164
Epoch 00049 | Loss 1.0580 | Test Acc 0.6020 | Time(s) 0.0164
Epoch 00050 | Loss 1.0530 | Test Acc 0.6041 | Time(s) 0.0164
Epoch 00051 | Loss 1.0250 | Test Acc 0.6176 | Time(s) 0.0164
Epoch 00052 | Loss 1.0235 | Test Acc 0.5983 | Time(s) 0.0164
Epoch 00053 | Loss 1.0715 | Test Acc 0.6092 | Time(s) 0.0164
Epoch 00054 | Loss 1.0808 | Test Acc 0.5736 | Time(s) 0.0164
Epoch 00055 | Loss 1.1597 | Test Acc 0.5998 | Time(s) 0.0164
Epoch 00056 | Loss 1.0997 | Test Acc 0.5791 | Time(s) 0.0164
Epoch 00057 | Loss 1.0944 | Test Acc 0.6111 | Time(s) 0.0164
Epoch 00058 | Loss 1.0279 | Test Acc 0.5940 | Time(s) 0.0164
Epoch 00059 | Loss 1.0889 | Test Acc 0.6329 | Time(s) 0.0164
Epoch 00060 | Loss 1.0341 | Test Acc 0.6292 | Time(s) 0.0164
Epoch 00061 | Loss 0.9942 | Test Acc 0.6310 | Time(s) 0.0163
Epoch 00062 | Loss 0.9639 | Test Acc 0.5863 | Time(s) 0.0163
Epoch 00063 | Loss 1.0239 | Test Acc 0.6016 | Time(s) 0.0163
Epoch 00064 | Loss 1.0015 | Test Acc 0.6100 | Time(s) 0.0163
Epoch 00065 | Loss 0.9810 | Test Acc 0.6289 | Time(s) 0.0163
Epoch 00066 | Loss 0.9500 | Test Acc 0.6343 | Time(s) 0.0163
Epoch 00067 | Loss 0.9540 | Test Acc 0.6449 | Time(s) 0.0163
Epoch 00068 | Loss 0.9462 | Test Acc 0.6441 | Time(s) 0.0163
Epoch 00069 | Loss 0.9279 | Test Acc 0.6419 | Time(s) 0.0163
Epoch 00070 | Loss 0.9289 | Test Acc 0.6434 | Time(s) 0.0163
Epoch 00071 | Loss 0.9263 | Test Acc 0.6467 | Time(s) 0.0163
Epoch 00072 | Loss 0.9135 | Test Acc 0.6525 | Time(s) 0.0163
Epoch 00073 | Loss 0.9074 | Test Acc 0.6525 | Time(s) 0.0163
Epoch 00074 | Loss 0.8946 | Test Acc 0.6419 | Time(s) 0.0163
Epoch 00075 | Loss 0.9060 | Test Acc 0.6547 | Time(s) 0.0163
Epoch 00076 | Loss 0.8882 | Test Acc 0.6503 | Time(s) 0.0163
Epoch 00077 | Loss 0.8855 | Test Acc 0.6529 | Time(s) 0.0163
