Epoch 00000 | Loss 2.7034 | Test Acc 0.3343 | Time(s) nan
Epoch 00001 | Loss 1.8548 | Test Acc 0.5874 | Time(s) nan
Epoch 00002 | Loss 1.3624 | Test Acc 0.7532 | Time(s) nan
Epoch 00003 | Loss 1.0950 | Test Acc 0.8097 | Time(s) 0.0181
Epoch 00004 | Loss 0.8644 | Test Acc 0.8536 | Time(s) 0.0181
Epoch 00005 | Loss 0.6224 | Test Acc 0.8694 | Time(s) 0.0181
Epoch 00006 | Loss 0.5301 | Test Acc 0.8871 | Time(s) 0.0181
Epoch 00007 | Loss 0.4804 | Test Acc 0.9018 | Time(s) 0.0182
Epoch 00008 | Loss 0.3955 | Test Acc 0.9067 | Time(s) 0.0182
Epoch 00009 | Loss 0.3718 | Test Acc 0.9116 | Time(s) 0.0182
Epoch 00010 | Loss 0.3638 | Test Acc 0.9149 | Time(s) 0.0181
Epoch 00011 | Loss 0.3458 | Test Acc 0.9187 | Time(s) 0.0181
Epoch 00012 | Loss 0.3158 | Test Acc 0.9217 | Time(s) 0.0181
Epoch 00013 | Loss 0.2992 | Test Acc 0.9239 | Time(s) 0.0181
Epoch 00014 | Loss 0.2890 | Test Acc 0.9231 | Time(s) 0.0181
Epoch 00015 | Loss 0.2744 | Test Acc 0.9226 | Time(s) 0.0181
Epoch 00016 | Loss 0.2590 | Test Acc 0.9217 | Time(s) 0.0182
Epoch 00017 | Loss 0.2479 | Test Acc 0.9239 | Time(s) 0.0182
Epoch 00018 | Loss 0.2374 | Test Acc 0.9250 | Time(s) 0.0183
Epoch 00019 | Loss 0.2263 | Test Acc 0.9258 | Time(s) 0.0183
Epoch 00020 | Loss 0.2184 | Test Acc 0.9264 | Time(s) 0.0183
Epoch 00021 | Loss 0.2114 | Test Acc 0.9296 | Time(s) 0.0183
Epoch 00022 | Loss 0.2035 | Test Acc 0.9329 | Time(s) 0.0183
Epoch 00023 | Loss 0.1986 | Test Acc 0.9324 | Time(s) 0.0183
Epoch 00024 | Loss 0.1951 | Test Acc 0.9316 | Time(s) 0.0183
Epoch 00025 | Loss 0.1902 | Test Acc 0.9321 | Time(s) 0.0183
Epoch 00026 | Loss 0.1834 | Test Acc 0.9305 | Time(s) 0.0183
Epoch 00027 | Loss 0.1772 | Test Acc 0.9307 | Time(s) 0.0183
Epoch 00028 | Loss 0.1731 | Test Acc 0.9310 | Time(s) 0.0183
Epoch 00029 | Loss 0.1689 | Test Acc 0.9321 | Time(s) 0.0182
Epoch 00030 | Loss 0.1636 | Test Acc 0.9318 | Time(s) 0.0182
Epoch 00031 | Loss 0.1592 | Test Acc 0.9329 | Time(s) 0.0182
Epoch 00032 | Loss 0.1555 | Test Acc 0.9316 | Time(s) 0.0182
Epoch 00033 | Loss 0.1512 | Test Acc 0.9316 | Time(s) 0.0182
