Epoch 00000 | Loss 4.2482 | Test Acc 0.0424 | Time(s) nan
Epoch 00001 | Loss 4.1111 | Test Acc 0.0424 | Time(s) nan
Epoch 00002 | Loss 4.2526 | Test Acc 0.0765 | Time(s) nan
Epoch 00003 | Loss 3.9448 | Test Acc 0.0475 | Time(s) 0.0260
Epoch 00004 | Loss 4.0167 | Test Acc 0.0503 | Time(s) 0.0260
Epoch 00005 | Loss 4.0073 | Test Acc 0.0594 | Time(s) 0.0260
Epoch 00006 | Loss 3.9236 | Test Acc 0.0606 | Time(s) 0.0259
Epoch 00007 | Loss 3.8008 | Test Acc 0.0727 | Time(s) 0.0259
Epoch 00008 | Loss 3.6706 | Test Acc 0.1811 | Time(s) 0.0260
Epoch 00009 | Loss 3.4899 | Test Acc 0.1243 | Time(s) 0.0259
Epoch 00010 | Loss 3.3253 | Test Acc 0.1965 | Time(s) 0.0259
Epoch 00011 | Loss 3.1598 | Test Acc 0.2342 | Time(s) 0.0259
Epoch 00012 | Loss 2.9959 | Test Acc 0.2561 | Time(s) 0.0259
Epoch 00013 | Loss 2.8181 | Test Acc 0.2975 | Time(s) 0.0259
Epoch 00014 | Loss 2.6128 | Test Acc 0.3392 | Time(s) 0.0259
Epoch 00015 | Loss 2.4312 | Test Acc 0.3885 | Time(s) 0.0259
Epoch 00016 | Loss 2.2424 | Test Acc 0.4441 | Time(s) 0.0259
Epoch 00017 | Loss 2.0574 | Test Acc 0.4638 | Time(s) 0.0259
Epoch 00018 | Loss 1.9303 | Test Acc 0.4648 | Time(s) 0.0259
Epoch 00019 | Loss 1.8636 | Test Acc 0.4731 | Time(s) 0.0259
Epoch 00020 | Loss 1.7949 | Test Acc 0.5145 | Time(s) 0.0259
Epoch 00021 | Loss 1.6070 | Test Acc 0.5032 | Time(s) 0.0259
Epoch 00022 | Loss 1.5895 | Test Acc 0.5355 | Time(s) 0.0259
Epoch 00023 | Loss 1.4751 | Test Acc 0.5431 | Time(s) 0.0259
Epoch 00024 | Loss 1.4188 | Test Acc 0.5628 | Time(s) 0.0259
Epoch 00025 | Loss 1.3490 | Test Acc 0.5827 | Time(s) 0.0259
