Epoch 00000 | Loss 2.0960 | Test Acc 0.2203 | Time(s) nan
Epoch 00001 | Loss 13.4222 | Test Acc 0.2536 | Time(s) nan
Epoch 00002 | Loss 7.9885 | Test Acc 0.1294 | Time(s) nan
Epoch 00003 | Loss 3.0446 | Test Acc 0.1353 | Time(s) 0.0121
Epoch 00004 | Loss 2.3446 | Test Acc 0.1176 | Time(s) 0.0122
Epoch 00005 | Loss 2.1190 | Test Acc 0.2046 | Time(s) 0.0121
Epoch 00006 | Loss 2.0091 | Test Acc 0.2183 | Time(s) 0.0122
Epoch 00007 | Loss 1.9386 | Test Acc 0.2216 | Time(s) 0.0122
Epoch 00008 | Loss 1.9500 | Test Acc 0.2255 | Time(s) 0.0127
Epoch 00009 | Loss 1.9352 | Test Acc 0.3399 | Time(s) 0.0126
Epoch 00010 | Loss 1.9003 | Test Acc 0.2641 | Time(s) 0.0125
Epoch 00011 | Loss 1.8934 | Test Acc 0.3497 | Time(s) 0.0124
Epoch 00012 | Loss 1.8655 | Test Acc 0.4327 | Time(s) 0.0124
Epoch 00013 | Loss 1.8216 | Test Acc 0.3954 | Time(s) 0.0123
Epoch 00014 | Loss 1.7744 | Test Acc 0.4203 | Time(s) 0.0123
Epoch 00015 | Loss 1.7107 | Test Acc 0.5641 | Time(s) 0.0122
Epoch 00016 | Loss 1.6068 | Test Acc 0.6412 | Time(s) 0.0122
Epoch 00017 | Loss 1.4871 | Test Acc 0.6830 | Time(s) 0.0123
Epoch 00018 | Loss 1.3692 | Test Acc 0.6464 | Time(s) 0.0122
Epoch 00019 | Loss 1.2365 | Test Acc 0.6706 | Time(s) 0.0122
Epoch 00020 | Loss 1.1340 | Test Acc 0.6614 | Time(s) 0.0122
Epoch 00021 | Loss 1.0146 | Test Acc 0.7261 | Time(s) 0.0122
Epoch 00022 | Loss 0.9702 | Test Acc 0.7745 | Time(s) 0.0121
Epoch 00023 | Loss 0.8654 | Test Acc 0.7967 | Time(s) 0.0121
Epoch 00024 | Loss 0.7836 | Test Acc 0.8026 | Time(s) 0.0121
Epoch 00025 | Loss 0.7190 | Test Acc 0.8255 | Time(s) 0.0121
Epoch 00026 | Loss 0.6479 | Test Acc 0.7641 | Time(s) 0.0121
Epoch 00027 | Loss 0.7305 | Test Acc 0.8118 | Time(s) 0.0121
Epoch 00028 | Loss 0.6251 | Test Acc 0.8346 | Time(s) 0.0121
Epoch 00029 | Loss 0.5665 | Test Acc 0.8471 | Time(s) 0.0121
Epoch 00030 | Loss 0.5464 | Test Acc 0.8497 | Time(s) 0.0121
Epoch 00031 | Loss 0.5467 | Test Acc 0.8680 | Time(s) 0.0121
Epoch 00032 | Loss 0.4732 | Test Acc 0.8771 | Time(s) 0.0121
Epoch 00033 | Loss 0.4777 | Test Acc 0.8627 | Time(s) 0.0120
Epoch 00034 | Loss 0.4838 | Test Acc 0.8804 | Time(s) 0.0120
Epoch 00035 | Loss 0.4425 | Test Acc 0.8791 | Time(s) 0.0121
Epoch 00036 | Loss 0.4457 | Test Acc 0.9059 | Time(s) 0.0121
Epoch 00037 | Loss 0.4298 | Test Acc 0.8948 | Time(s) 0.0121
Epoch 00038 | Loss 0.4253 | Test Acc 0.8935 | Time(s) 0.0121
Epoch 00039 | Loss 0.4100 | Test Acc 0.9150 | Time(s) 0.0120
Epoch 00040 | Loss 0.3882 | Test Acc 0.8967 | Time(s) 0.0120
Epoch 00041 | Loss 0.4022 | Test Acc 0.9078 | Time(s) 0.0120
Epoch 00042 | Loss 0.4025 | Test Acc 0.8863 | Time(s) 0.0120
Epoch 00043 | Loss 0.3991 | Test Acc 0.9078 | Time(s) 0.0120
Epoch 00044 | Loss 0.3742 | Test Acc 0.9105 | Time(s) 0.0121
Epoch 00045 | Loss 0.3544 | Test Acc 0.8961 | Time(s) 0.0121
Epoch 00046 | Loss 0.3658 | Test Acc 0.9137 | Time(s) 0.0121
Epoch 00047 | Loss 0.3455 | Test Acc 0.9190 | Time(s) 0.0121
Epoch 00048 | Loss 0.3306 | Test Acc 0.8987 | Time(s) 0.0121
Epoch 00049 | Loss 0.3439 | Test Acc 0.9163 | Time(s) 0.0121
Epoch 00050 | Loss 0.3206 | Test Acc 0.9196 | Time(s) 0.0120
Epoch 00051 | Loss 0.3142 | Test Acc 0.9039 | Time(s) 0.0120
Epoch 00052 | Loss 0.3237 | Test Acc 0.9229 | Time(s) 0.0120
Epoch 00053 | Loss 0.3016 | Test Acc 0.9176 | Time(s) 0.0120
Epoch 00054 | Loss 0.3026 | Test Acc 0.9196 | Time(s) 0.0120
Epoch 00055 | Loss 0.2904 | Test Acc 0.9190 | Time(s) 0.0120
Epoch 00056 | Loss 0.2913 | Test Acc 0.9261 | Time(s) 0.0120
Epoch 00057 | Loss 0.2906 | Test Acc 0.9288 | Time(s) 0.0120
Epoch 00058 | Loss 0.2777 | Test Acc 0.9124 | Time(s) 0.0120
Epoch 00059 | Loss 0.2824 | Test Acc 0.9281 | Time(s) 0.0120
Epoch 00060 | Loss 0.2721 | Test Acc 0.9268 | Time(s) 0.0120
Epoch 00061 | Loss 0.2722 | Test Acc 0.9255 | Time(s) 0.0120
Epoch 00062 | Loss 0.2658 | Test Acc 0.9288 | Time(s) 0.0121
Epoch 00063 | Loss 0.2610 | Test Acc 0.9288 | Time(s) 0.0121
Epoch 00064 | Loss 0.2628 | Test Acc 0.9327 | Time(s) 0.0121
Epoch 00065 | Loss 0.2538 | Test Acc 0.9288 | Time(s) 0.0121
Epoch 00066 | Loss 0.2508 | Test Acc 0.9314 | Time(s) 0.0121
Epoch 00067 | Loss 0.2522 | Test Acc 0.9301 | Time(s) 0.0120
Epoch 00068 | Loss 0.2457 | Test Acc 0.9314 | Time(s) 0.0120
Epoch 00069 | Loss 0.2421 | Test Acc 0.9314 | Time(s) 0.0121
Epoch 00070 | Loss 0.2439 | Test Acc 0.9314 | Time(s) 0.0121
Epoch 00071 | Loss 0.2439 | Test Acc 0.9301 | Time(s) 0.0121
Epoch 00072 | Loss 0.2525 | Test Acc 0.9268 | Time(s) 0.0121
Epoch 00073 | Loss 0.2426 | Test Acc 0.9359 | Time(s) 0.0121
Epoch 00074 | Loss 0.2348 | Test Acc 0.9340 | Time(s) 0.0121
Epoch 00075 | Loss 0.2279 | Test Acc 0.9327 | Time(s) 0.0121
Epoch 00076 | Loss 0.2298 | Test Acc 0.9359 | Time(s) 0.0120
Epoch 00077 | Loss 0.2312 | Test Acc 0.9314 | Time(s) 0.0120
Epoch 00078 | Loss 0.2359 | Test Acc 0.9261 | Time(s) 0.0120
Epoch 00079 | Loss 0.2638 | Test Acc 0.9209 | Time(s) 0.0120
Epoch 00080 | Loss 0.2417 | Test Acc 0.9333 | Time(s) 0.0120
Epoch 00081 | Loss 0.2249 | Test Acc 0.9320 | Time(s) 0.0120
Epoch 00082 | Loss 0.2404 | Test Acc 0.9340 | Time(s) 0.0120
Epoch 00083 | Loss 0.2329 | Test Acc 0.9307 | Time(s) 0.0120
