Epoch 00000 | Loss 4.2490 | Test Acc 0.0419 | Time(s) nan
Epoch 00001 | Loss 4.1863 | Test Acc 0.0424 | Time(s) nan
Epoch 00002 | Loss 4.0066 | Test Acc 0.0503 | Time(s) nan
Epoch 00003 | Loss 3.9388 | Test Acc 0.1164 | Time(s) 0.0261
Epoch 00004 | Loss 3.8987 | Test Acc 0.0626 | Time(s) 0.0263
Epoch 00005 | Loss 3.7742 | Test Acc 0.0591 | Time(s) 0.0261
Epoch 00006 | Loss 3.7005 | Test Acc 0.0945 | Time(s) 0.0260
Epoch 00007 | Loss 3.5139 | Test Acc 0.1091 | Time(s) 0.0261
Epoch 00008 | Loss 3.4045 | Test Acc 0.1460 | Time(s) 0.0261
Epoch 00009 | Loss 3.2267 | Test Acc 0.1518 | Time(s) 0.0262
Epoch 00010 | Loss 3.0591 | Test Acc 0.1796 | Time(s) 0.0262
Epoch 00011 | Loss 2.9389 | Test Acc 0.2581 | Time(s) 0.0262
Epoch 00012 | Loss 2.7672 | Test Acc 0.2640 | Time(s) 0.0261
Epoch 00013 | Loss 2.6365 | Test Acc 0.3125 | Time(s) 0.0262
Epoch 00014 | Loss 2.4691 | Test Acc 0.3395 | Time(s) 0.0262
Epoch 00015 | Loss 2.3116 | Test Acc 0.4031 | Time(s) 0.0262
Epoch 00016 | Loss 2.1856 | Test Acc 0.3928 | Time(s) 0.0264
Epoch 00017 | Loss 2.1086 | Test Acc 0.3779 | Time(s) 0.0266
Epoch 00018 | Loss 2.1746 | Test Acc 0.3925 | Time(s) 0.0268
Epoch 00019 | Loss 2.0292 | Test Acc 0.4443 | Time(s) 0.0267
Epoch 00020 | Loss 1.9143 | Test Acc 0.4430 | Time(s) 0.0267
Epoch 00021 | Loss 1.8430 | Test Acc 0.4764 | Time(s) 0.0267
Epoch 00022 | Loss 1.7580 | Test Acc 0.4933 | Time(s) 0.0266
Epoch 00023 | Loss 1.6823 | Test Acc 0.5024 | Time(s) 0.0266
Epoch 00024 | Loss 1.6301 | Test Acc 0.5133 | Time(s) 0.0266
Epoch 00025 | Loss 1.5610 | Test Acc 0.5340 | Time(s) 0.0265
Epoch 00026 | Loss 1.4898 | Test Acc 0.5506 | Time(s) 0.0265
Epoch 00027 | Loss 1.4146 | Test Acc 0.5559 | Time(s) 0.0265
Epoch 00028 | Loss 1.3633 | Test Acc 0.5590 | Time(s) 0.0265
Epoch 00029 | Loss 1.3166 | Test Acc 0.5633 | Time(s) 0.0264
Epoch 00030 | Loss 1.2701 | Test Acc 0.5701 | Time(s) 0.0264
Epoch 00031 | Loss 1.2194 | Test Acc 0.5792 | Time(s) 0.0264
Epoch 00032 | Loss 1.1784 | Test Acc 0.5888 | Time(s) 0.0264
Epoch 00033 | Loss 1.1235 | Test Acc 0.5964 | Time(s) 0.0264
Epoch 00034 | Loss 1.0737 | Test Acc 0.6044 | Time(s) 0.0264
Epoch 00035 | Loss 1.0462 | Test Acc 0.6012 | Time(s) 0.0264
Epoch 00036 | Loss 1.0090 | Test Acc 0.6037 | Time(s) 0.0263
Epoch 00037 | Loss 0.9707 | Test Acc 0.6118 | Time(s) 0.0263
Epoch 00038 | Loss 0.9404 | Test Acc 0.6055 | Time(s) 0.0263
Epoch 00039 | Loss 0.9135 | Test Acc 0.6130 | Time(s) 0.0263
Epoch 00040 | Loss 0.8883 | Test Acc 0.6095 | Time(s) 0.0263
Epoch 00041 | Loss 0.8641 | Test Acc 0.6135 | Time(s) 0.0263
Epoch 00042 | Loss 0.8391 | Test Acc 0.6191 | Time(s) 0.0263
Epoch 00043 | Loss 0.8156 | Test Acc 0.6178 | Time(s) 0.0263
Epoch 00044 | Loss 0.7908 | Test Acc 0.6183 | Time(s) 0.0263
Epoch 00045 | Loss 0.7657 | Test Acc 0.6239 | Time(s) 0.0263
Epoch 00046 | Loss 0.7472 | Test Acc 0.6279 | Time(s) 0.0263
Epoch 00047 | Loss 0.7308 | Test Acc 0.6199 | Time(s) 0.0263
Epoch 00048 | Loss 0.7160 | Test Acc 0.6310 | Time(s) 0.0263
Epoch 00049 | Loss 0.7042 | Test Acc 0.6163 | Time(s) 0.0263
Epoch 00050 | Loss 0.6925 | Test Acc 0.6297 | Time(s) 0.0263
Epoch 00051 | Loss 0.6713 | Test Acc 0.6236 | Time(s) 0.0263
Epoch 00052 | Loss 0.6533 | Test Acc 0.6297 | Time(s) 0.0263
Epoch 00053 | Loss 0.6456 | Test Acc 0.6322 | Time(s) 0.0263
Epoch 00054 | Loss 0.6372 | Test Acc 0.6337 | Time(s) 0.0263
Epoch 00055 | Loss 0.6047 | Test Acc 0.6272 | Time(s) 0.0263
Epoch 00056 | Loss 0.5952 | Test Acc 0.6254 | Time(s) 0.0263
Epoch 00057 | Loss 0.5926 | Test Acc 0.6264 | Time(s) 0.0263
Epoch 00058 | Loss 0.5683 | Test Acc 0.6279 | Time(s) 0.0262
Epoch 00059 | Loss 0.5457 | Test Acc 0.6277 | Time(s) 0.0262
Epoch 00060 | Loss 0.5460 | Test Acc 0.6259 | Time(s) 0.0262
Epoch 00061 | Loss 0.5357 | Test Acc 0.6193 | Time(s) 0.0262
