Epoch 00000 | Loss 1.9468 | Test Acc 0.1490 | Time(s) nan
Epoch 00001 | Loss 1.9400 | Test Acc 0.2080 | Time(s) nan
Epoch 00002 | Loss 1.9181 | Test Acc 0.2720 | Time(s) nan
Epoch 00003 | Loss 1.8709 | Test Acc 0.3310 | Time(s) 0.0092
Epoch 00004 | Loss 1.7887 | Test Acc 0.4880 | Time(s) 0.0093
Epoch 00005 | Loss 1.6603 | Test Acc 0.4940 | Time(s) 0.0093
Epoch 00006 | Loss 1.4794 | Test Acc 0.5450 | Time(s) 0.0096
Epoch 00007 | Loss 1.2494 | Test Acc 0.6500 | Time(s) 0.0095
Epoch 00008 | Loss 0.9929 | Test Acc 0.7220 | Time(s) 0.0096
Epoch 00009 | Loss 0.7545 | Test Acc 0.7070 | Time(s) 0.0095
Epoch 00010 | Loss 0.5637 | Test Acc 0.7620 | Time(s) 0.0095
Epoch 00011 | Loss 0.3611 | Test Acc 0.7680 | Time(s) 0.0095
Epoch 00012 | Loss 0.2606 | Test Acc 0.7480 | Time(s) 0.0095
Epoch 00013 | Loss 0.1584 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00014 | Loss 0.1128 | Test Acc 0.7570 | Time(s) 0.0097
Epoch 00015 | Loss 0.0709 | Test Acc 0.7570 | Time(s) 0.0097
Epoch 00016 | Loss 0.0406 | Test Acc 0.7580 | Time(s) 0.0096
Epoch 00017 | Loss 0.0271 | Test Acc 0.7580 | Time(s) 0.0096
Epoch 00018 | Loss 0.0200 | Test Acc 0.7570 | Time(s) 0.0096
Epoch 00019 | Loss 0.0083 | Test Acc 0.7500 | Time(s) 0.0096
Epoch 00020 | Loss 0.0051 | Test Acc 0.7460 | Time(s) 0.0096
Epoch 00021 | Loss 0.0055 | Test Acc 0.7460 | Time(s) 0.0095
Epoch 00022 | Loss 0.0017 | Test Acc 0.7500 | Time(s) 0.0095
Epoch 00023 | Loss 0.0012 | Test Acc 0.7480 | Time(s) 0.0095
Epoch 00024 | Loss 0.0022 | Test Acc 0.7450 | Time(s) 0.0095
Epoch 00025 | Loss 0.0016 | Test Acc 0.7430 | Time(s) 0.0095
Epoch 00026 | Loss 0.0005 | Test Acc 0.7350 | Time(s) 0.0095
Epoch 00027 | Loss 0.0002 | Test Acc 0.7280 | Time(s) 0.0095
Epoch 00028 | Loss 0.0004 | Test Acc 0.7250 | Time(s) 0.0095
Epoch 00029 | Loss 0.0009 | Test Acc 0.7260 | Time(s) 0.0095
Epoch 00030 | Loss 0.0002 | Test Acc 0.7270 | Time(s) 0.0095
Epoch 00031 | Loss 0.0001 | Test Acc 0.7280 | Time(s) 0.0095
Epoch 00032 | Loss 0.0001 | Test Acc 0.7240 | Time(s) 0.0095
Epoch 00033 | Loss 0.0001 | Test Acc 0.7250 | Time(s) 0.0095
Epoch 00034 | Loss 0.0001 | Test Acc 0.7250 | Time(s) 0.0095
Epoch 00035 | Loss 0.0001 | Test Acc 0.7250 | Time(s) 0.0095
Epoch 00036 | Loss 0.0001 | Test Acc 0.7220 | Time(s) 0.0095
Epoch 00037 | Loss 0.0001 | Test Acc 0.7200 | Time(s) 0.0095
Epoch 00038 | Loss 0.0001 | Test Acc 0.7200 | Time(s) 0.0095
Epoch 00039 | Loss 0.0001 | Test Acc 0.7190 | Time(s) 0.0094
Epoch 00040 | Loss 0.0001 | Test Acc 0.7180 | Time(s) 0.0094
Epoch 00041 | Loss 0.0001 | Test Acc 0.7180 | Time(s) 0.0094
Epoch 00042 | Loss 0.0000 | Test Acc 0.7180 | Time(s) 0.0094
Epoch 00043 | Loss 0.0000 | Test Acc 0.7190 | Time(s) 0.0094
Epoch 00044 | Loss 0.0000 | Test Acc 0.7190 | Time(s) 0.0094
Epoch 00045 | Loss 0.0000 | Test Acc 0.7210 | Time(s) 0.0094
Epoch 00046 | Loss 0.0000 | Test Acc 0.7210 | Time(s) 0.0094
Epoch 00047 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00048 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00049 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00050 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00051 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00052 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00053 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00054 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00055 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00056 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00057 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00058 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00059 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00060 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00061 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00062 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00063 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00064 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0094
Epoch 00065 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00066 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00067 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00068 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0094
Epoch 00069 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0094
